DOC-061,Master’s section 42(2) certificate,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Conditional,Not applicable,Required,Not applicable,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-062,Estate sale authority evidence,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Conditional,Not applicable,Conditional,Not applicable,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-063,Mortgagee consent / release,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-064,Approved sectional plan,Not applicable,Conditional,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Required,Not applicable,,
DOC-065,Approved general plan / subdivision diagram,Not applicable,Not applicable,Conditional,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Required,,
DOC-066,Planning approval and conditions,Not applicable,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Required,Required,Required,,
DOC-067,Development register / subdivision application,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Required,Required,Required,,
DOC-068,Certificates of registered title / sectional title,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Required,Required,Required,,
DOC-069,Registered extension-right title / evidence,Not applicable,Not applicable,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Conditional,Not applicable,,
DOC-070,Scheme rules / applicable body corporate resolution,Not applicable,Conditional,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Conditional,Not applicable,Conditional,Not applicable,,
DOC-071,Conveyancer’s section 42(1) certificate,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Required,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-072,Donation tax declaration (IT144),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-073,Next-of-kin affidavit,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-074,Death notice,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-075,Municipal development-condition compliance certificate (s53),Not applicable,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Conditional,Conditional,Conditional,Conditional,,
DOC-076,Conveyancer title-conditions schedule,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,,
DOC-077,Conveyancer scheme-rules certificate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,,
DOC-078,Revised participation-quota schedule,Not applicable,Not applicable,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,,
DOC-079,Bond debtor-substitution agreement / consent,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-080,Sectional title extension / developer-change disclosure,Not applicable,Conditional,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Conditional,Not applicable,Conditional,Not applicable,,
DOC-081,Suspensive-condition fulfilment / waiver evidence,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-082,Confirmed registration record,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,,
DOC-083,VAT / tax-treatment supporting evidence,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-084,Sheriff’s execution-transfer supporting pack,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-085,Bulk property / allocation / linked-matter schedule,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-086,Court order for joint-estate division / regime change,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
